Code,Species,Classification,kingdom,phylum,class,order,family,genus,species
OTAN,Deutzia scabra,CoreEudicots/Asterids Cornales,Plantae,Tracheophyta,Magnoliopsida,Cornales,Hydrangeaceae,Deutzia,Deutzia scabra
NAUM,Ipomoea lindheimeri,CoreEudicots/Asterids Solanales,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Ipomoea lindheimeri
GYBH,Codium fragile,Ulvophyceae Bryopsidales,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,Codium fragile
KTAR,Chionanthus retusus,CoreEudicots/Asterids Lamiales,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Chionanthus,Chionanthus retusus
XKPS,Ximenia americana,CoreEudicots Santalales,Plantae,Tracheophyta,Magnoliopsida,Santalales,Ximeniaceae,Ximenia,Ximenia americana
QKMG,Phoradendron serotinum,CoreEudicots Santalales,Plantae,Tracheophyta,Magnoliopsida,Santalales,Viscaceae,Phoradendron,Phoradendron leucarpum
UNSW,Mollugo nudicaulis,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Molluginaceae,Paramollugo,Paramollugo nudicaulis
WZFE,Ascarina rubricaulis,Chloranthales Chloranthales,Plantae,Tracheophyta,Magnoliopsida,Chloranthales,Chloranthaceae,Ascarina,Ascarina rubricaulis
GRKU,Syntrichia princeps,Mosses Pottiales,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Syntrichia,Syntrichia princeps
VZWX,Ceramium kondoi,Rhodophyta,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Ceramiaceae,Ceramium,Ceramium kondoi
IRBN,Scapania nemorosa,Liverworts Jungermanniales,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Scapania,Scapania nemorea
NRWZ,Metzgeria crassipilis,Liverworts Metzgeriales,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Metzgeria,Metzgeria crassipilis
CCID,Akebia trifoliata,Eudicots Ranunculales,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Lardizabalaceae,Akebia,Akebia trifoliata
UCRN,Megaceros flagellaris,Hornworts Dendrocerotales,Plantae,Anthocerotophyta,Anthocerotopsida,Dendrocerotales,Dendrocerotaceae,Megaceros,Megaceros flagellaris
LNSF,Stereodon subimponens,Mosses Hypnales,Plantae,Bryophyta,Bryopsida,Hypnales,Stereodontaceae,Stereodon,Stereodon subimponens
AALA,Meliosma cuneifolia,Eudicots unranked,Plantae,Tracheophyta,Magnoliopsida,Proteales,Sabiaceae,Meliosma,Meliosma cuneifolia
RDOO,Racomitrium varium,Mosses Grimmiales,Plantae,Bryophyta,Bryopsida,Grimmiales,Grimmiaceae,Frisvollia,Frisvollia varia
Ambtr_v1.0.27,Amborella_trichopoda,Genome Amborellales,Plantae,Tracheophyta,Magnoliopsida,Amborellales,Amborellaceae,Amborella,Amborella trichopoda
YJJY,Woodsia scopulina,LeptosporangiateMonilophytes Polypodiales,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Woodsiaceae,Physematium,Physematium scopulinum
RUUB,Physena madagascariensis,CoreEudicots Caryophyllales,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Physenaceae,Physena,Physena madagascariensis
AZZW,Chlorokybus atmophyticus,Streptophyta Chlorokybales,Plantae,Charophyta,Chlorokybophyceae,Chlorokybales,Chlorokybaceae,Chlorokybus,Chlorokybus atmophyticus
LNIL,Pteromonas angulosa,Chlorophyceae Chlamydomonadales,Plantae,Chlorophyta,Chlorophyceae,Volvocales,Phacotaceae,Pteromonas,Pteromonas angulosa
VQFW,Platanus occidentalis,Eudicots Proteales,Plantae,Tracheophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,Platanus occidentalis
ZULJ,Pyropia yezoensis,Rhodophyta,Plantae,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Pyropia,Pyropia yezoensis
UGPM,Chondrus crispus,Rhodophyta,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondrus,Chondrus crispus
UWFU,Itea virginica,CoreEudicots Saxifragales,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Iteaceae,Itea,Itea virginica
